"match_variant","date","map","playlist","place","game_id"
"Team Slayer BR","12/23/2007 3:37:53 PM","Tombstone","Team Slayer","3rd","781660958"
"Team Slayer","12/23/2007 3:24:36 PM","Elongation","Team Slayer","7th","781659501"
"Team Slayer BR","12/23/2007 3:13:36 PM","Ascension","Team Slayer","7th","781658229"
"Team Slayer","12/23/2007 3:04:08 PM","Ivory Tower","Team Slayer","2nd","781663994"
"Team Snipers","12/23/2007 2:49:42 PM","Ascension","Team Snipers","7th","781655615"
"Team Slayer BR","12/23/2007 11:38:44 AM","Terminal","Team Slayer","2nd","781635114"
"Team Slayer BR","12/23/2007 11:25:01 AM","Tombstone","Team Slayer","4th","781633739"
"Team Slayer","12/23/2007 11:13:35 AM","Gemini","Team Slayer","1st","781638608"
"Team Slayer BR","12/23/2007 10:52:43 AM","Burial Mounds","Team Slayer","2nd","781630858"
"Team Slayer","12/23/2007 10:41:57 AM","Desolation","Team Slayer","6th","781635393"
"Team Slayer","12/23/2007 10:34:50 AM","Turf","Team Slayer","6th","781634674"
"Team Snipers","12/23/2007 10:23:24 AM","Zanzibar","Team Snipers","2nd","781628319"
"Team Snipers","12/23/2007 10:09:55 AM","Relic","Team Snipers","1st","781632417"
"Slayer Pro","12/23/2007 9:59:17 AM","Gemini","Rumble Pit","3rd","781626357"
"Rumble Swat","12/23/2007 9:51:45 AM","Tombstone","Rumble Pit","2nd","781625727"
"Team Slayer","12/22/2007 3:56:06 PM","Lockout","Team Slayer","7th","781575960"
"Team Rifles","12/22/2007 3:46:36 PM","Terminal","Team Slayer","7th","781571600"
"Team Slayer","12/22/2007 3:30:29 PM","Sanctuary","Team Slayer","8th","781570469"
"Team Slayer","12/22/2007 3:13:23 PM","Desolation","Team Slayer","8th","781569020"
"Team Slayer BR","12/22/2007 3:00:34 PM","Ascension","Team Slayer","4th","781567937"
"Team Slayer BR","12/22/2007 2:50:57 PM","Desolation","Team Slayer","3rd","781567100"
"Team Slayer","12/22/2007 2:33:54 PM","Gemini","Team Slayer","1st","781570665"
"Team Slayer BR","12/22/2007 2:31:17 PM","Zanzibar","Team Slayer","7th","781564976"
"Team Snipers","12/22/2007 2:15:17 PM","Ascension","Team Snipers","7th","781569199"
"Team Slayer BR","12/22/2007 2:06:18 PM","Lockout","Team Hardcore","6th","781562224"
"Slayer BR","12/22/2007 1:53:49 PM","Sanctuary","Double Team","1st","781560770"
